Tag,Pattern,Response
salam,Hai,Hai :-)
salam,Hai,"Halo, terima kasih sudah berkunjung"
salam,Hai,"Hai, ada yang bisa saya bantu?"
salam,Hai,"Halo, bagaimana saya bisa membantu Anda?"
salam,Hai,Ada sesuatu yang bisa saya bantu.
salam,Halo,Hai :-)
salam,Halo,"Halo, terima kasih sudah berkunjung"
salam,Halo,"Hai, ada yang bisa saya bantu?"
salam,Halo,"Halo, bagaimana saya bisa membantu Anda?"
salam,Halo,Ada sesuatu yang bisa saya bantu.
salam,Apa kabar,Hai :-)
salam,Apa kabar,"Halo, terima kasih sudah berkunjung"
salam,Apa kabar,"Hai, ada yang bisa saya bantu?"
salam,Apa kabar,"Halo, bagaimana saya bisa membantu Anda?"
salam,Apa kabar,Ada sesuatu yang bisa saya bantu.
salam,Ada orang di sana?,Hai :-)
salam,Ada orang di sana?,"Halo, terima kasih sudah berkunjung"
salam,Ada orang di sana?,"Hai, ada yang bisa saya bantu?"
salam,Ada orang di sana?,"Halo, bagaimana saya bisa membantu Anda?"
salam,Ada orang di sana?,Ada sesuatu yang bisa saya bantu.
salam,Selamat siang,Hai :-)
salam,Selamat siang,"Halo, terima kasih sudah berkunjung"
salam,Selamat siang,"Hai, ada yang bisa saya bantu?"
salam,Selamat siang,"Halo, bagaimana saya bisa membantu Anda?"
salam,Selamat siang,Ada sesuatu yang bisa saya bantu.
perpisahan,Dah,Bye! Kembali lagi ya.
perpisahan,Dah,"Sampai jumpa, terima kasih sudah berkunjung"
perpisahan,Dah,"Senang bertemu dengan Anda, semoga kita bertemu lagi."
perpisahan,Bye,Bye! Kembali lagi ya.
perpisahan,Bye,"Sampai jumpa, terima kasih sudah berkunjung"
perpisahan,Bye,"Senang bertemu dengan Anda, semoga kita bertemu lagi."
perpisahan,Sampai jumpa lagi,Bye! Kembali lagi ya.
perpisahan,Sampai jumpa lagi,"Sampai jumpa, terima kasih sudah berkunjung"
perpisahan,Sampai jumpa lagi,"Senang bertemu dengan Anda, semoga kita bertemu lagi."
perpisahan,Selamat tinggal,Bye! Kembali lagi ya.
perpisahan,Selamat tinggal,"Sampai jumpa, terima kasih sudah berkunjung"
perpisahan,Selamat tinggal,"Senang bertemu dengan Anda, semoga kita bertemu lagi."
terima_kasih,Terima kasih,Senang bisa membantu!
terima_kasih,Terima kasih,Dengan senang hati
terima_kasih,Terima kasih,"Jangan sungkan, saya lebih berterima kasih Anda sudah menghubungi kami."
terima_kasih,Terima kasih,Tentu! Anda bisa menghubungi kami kapan saja.
terima_kasih,Makasih,Senang bisa membantu!
terima_kasih,Makasih,Dengan senang hati
terima_kasih,Makasih,"Jangan sungkan, saya lebih berterima kasih Anda sudah menghubungi kami."
terima_kasih,Makasih,Tentu! Anda bisa menghubungi kami kapan saja.
terima_kasih,Itu sangat membantu,Senang bisa membantu!
terima_kasih,Itu sangat membantu,Dengan senang hati
terima_kasih,Itu sangat membantu,"Jangan sungkan, saya lebih berterima kasih Anda sudah menghubungi kami."
terima_kasih,Itu sangat membantu,Tentu! Anda bisa menghubungi kami kapan saja.
terima_kasih,Banyak terima kasih!,Senang bisa membantu!
terima_kasih,Banyak terima kasih!,Dengan senang hati
terima_kasih,Banyak terima kasih!,"Jangan sungkan, saya lebih berterima kasih Anda sudah menghubungi kami."
terima_kasih,Banyak terima kasih!,Tentu! Anda bisa menghubungi kami kapan saja.
pakaian,Apa layanan yang Anda tawarkan?,"Kami menyediakan layanan cuci biasa, cuci kering, setrika, dan dry cleaning."
pakaian,Apa layanan yang Anda tawarkan?,"Anda bisa mendapatkan layanan cuci biasa, cuci kering, serta dry cleaning."
pakaian,Apa layanan yang Anda tawarkan?,"Kami menawarkan layanan laundry lengkap seperti cuci, setrika, dan dry cleaning."
